Timestamp,URI,Method,Pricing,Elapsed Time,CPU Load,Memory Load,Identifier
2025-01-15 13:43:46, /api/v1/pets, GET, BASIC,242.0,80.77,4.58672,/api/v1/pets_GET_BASIC
2025-01-15 13:44:11, /api/v1/pets, POST, BASIC,434.0,86.67,4.589844,/api/v1/pets_POST_BASIC
2025-01-15 13:44:11, /api/v1/pets, GET, BASIC,364.0,86.67,4.589844,/api/v1/pets_GET_BASIC
2025-01-15 13:44:11, /api/v1/pets, GET, GOLD,608.0,86.67,4.589844,/api/v1/pets_GET_GOLD
2025-01-15 13:43:51, /api/v1/pets/types, GET, BASIC,512.0,86.67,4.58672,/api/v1/pets/types_GET_BASIC
2025-01-15 13:43:56, /api/v1/pets, GET, GOLD,554.0,87.5,4.58696,/api/v1/pets_GET_GOLD
2025-01-15 13:43:51, /api/v1/pets/{id}, DELETE, BASIC,531.0,86.67,4.58672,/api/v1/pets/{id}_DELETE_BASIC
2025-01-15 13:44:11, /api/v1/pets/types, GET, GOLD,594.0,86.67,4.589844,/api/v1/pets/types_GET_GOLD
2025-01-15 13:43:51, /api/v1/pets, GET, PLATINUM,479.0,86.67,4.58672,/api/v1/pets_GET_PLATINUM
2025-01-15 13:44:11, /api/v1/pets/types, GET, GOLD,501.0,86.67,4.589844,/api/v1/pets/types_GET_GOLD
2025-01-15 13:44:11, /api/v1/pets, GET, BASIC,531.0,86.67,4.589844,/api/v1/pets_GET_BASIC
2025-01-15 13:44:11, /api/v1/pets, GET, BASIC,395.0,86.67,4.589844,/api/v1/pets_GET_BASIC
2025-01-15 13:43:51, /api/v1/pets, GET, BASIC,292.0,86.67,4.58672,/api/v1/pets_GET_BASIC
2025-01-15 13:44:11, /api/v1/pets, GET, BASIC,524.0,86.67,4.589844,/api/v1/pets_GET_BASIC
2025-01-15 13:43:56, /api/v1/pets, GET, PLATINUM,397.0,87.5,4.58696,/api/v1/pets_GET_PLATINUM
2025-01-15 13:43:51, /api/v1/pets/{id}, DELETE, BASIC,291.0,86.67,4.58672,/api/v1/pets/{id}_DELETE_BASIC
2025-01-15 13:43:51, /api/v1/pets, GET, BASIC,392.0,86.67,4.58672,/api/v1/pets_GET_BASIC
2025-01-15 13:43:51, /api/v1/pets/{id}/visits, POST, PLATINUM,272.0,86.67,4.58672,/api/v1/pets/{id}/visits_POST_PLATINUM
2025-01-15 13:44:11, /api/v1/pets/{id}, DELETE, PLATINUM,538.0,86.67,4.589844,/api/v1/pets/{id}_DELETE_PLATINUM
2025-01-15 13:44:11, /api/v1/pets/{id}, DELETE, BASIC,602.0,86.67,4.589844,/api/v1/pets/{id}_DELETE_BASIC
2025-01-15 13:44:11, /api/v1/pets/{id}, DELETE, BASIC,559.0,86.67,4.589844,/api/v1/pets/{id}_DELETE_BASIC
2025-01-15 13:43:56, /api/v1/pets/{id}, DELETE, GOLD,508.0,87.5,4.58696,/api/v1/pets/{id}_DELETE_GOLD
2025-01-15 13:43:56, /api/v1/pets, POST, BASIC,567.0,87.5,4.58696,/api/v1/pets_POST_BASIC
2025-01-15 13:43:56, /api/v1/pets, POST, BASIC,602.0,87.5,4.58696,/api/v1/pets_POST_BASIC
2025-01-15 13:43:51, /api/v1/pets, GET, BASIC,456.0,86.67,4.58672,/api/v1/pets_GET_BASIC
2025-01-15 13:44:11, /api/v1/pets/{id}, DELETE, BASIC,509.0,86.67,4.589844,/api/v1/pets/{id}_DELETE_BASIC
2025-01-15 13:43:51, /api/v1/pets/types, GET, GOLD,463.0,86.67,4.58672,/api/v1/pets/types_GET_GOLD
2025-01-15 13:43:51, /api/v1/pets/{id}/visits, POST, PLATINUM,552.0,86.67,4.58672,/api/v1/pets/{id}/visits_POST_PLATINUM
2025-01-15 13:44:11, /api/v1/pets, GET, BASIC,168.0,86.67,4.589844,/api/v1/pets_GET_BASIC
2025-01-15 13:44:11, /api/v1/pets/types, GET, BASIC,417.0,86.67,4.589844,/api/v1/pets/types_GET_BASIC
2025-01-15 13:44:11, /api/v1/pets, POST, PLATINUM,168.0,86.67,4.589844,/api/v1/pets_POST_PLATINUM
2025-01-15 13:44:11, /api/v1/pets, POST, BASIC,527.0,86.67,4.589844,/api/v1/pets_POST_BASIC
2025-01-15 13:44:11, /api/v1/pets, POST, GOLD,538.0,86.67,4.589844,/api/v1/pets_POST_GOLD
2025-01-15 13:43:51, /api/v1/pets, POST, GOLD,554.0,86.67,4.58672,/api/v1/pets_POST_GOLD
